sex,race,degree,relig,polparty,cappun,tvhours,owngun,gunlaw,age,chldidel
Female,White,HighSchool,Other,Republican,Favor,1,No,Favor,25,2
Male,White,HighSchool,Catholic,Independent,Favor,1,Yes,Oppose,47,3
Female,White,HighSchool,Other,Republican,Favor,4,No,Favor,51,2
Male,AfrAm,HighSchool,Catholic,Democrat,Oppose,6,No,Favor,23,3
Female,White,HighSchool,Catholic,Other,Favor,5,No,Favor,69,4
Male,White,Bachelor,Protestant,Democrat,Favor,1,No,Favor,57,2
Male,White,NotHs,Catholic,Independent,Oppose,1,Yes,Oppose,77,5
Female,White,Bachelor,Protestant,Republican,Favor,3,No,Favor,76,3
Male,White,HighSchool,Other,Republican,Favor,3,Yes,Favor,21,2
Male,White,HighSchool,Protestant,Republican,Favor,2,No,Favor,45,2
Female,White,Graduate,Protestant,Independent,Favor,1,Yes,Oppose,64,3
Female,AfrAm,HighSchool,Protestant,Democrat,Oppose,8,No,Favor,74,2
Male,White,JunColl,Catholic,Democrat,Favor,2,No,Favor,77,4
Male,White,HighSchool,Protestant,Republican,Favor,1,Yes,Oppose,28,3
Female,White,HighSchool,Other,Independent,Favor,2,No,Favor,23,3
Female,White,Graduate,Jewish,Democrat,Oppose,1,No,Favor,53,2
Female,White,Bachelor,Other,Republican,Favor,3,No,Favor,54,2
Female,White,HighSchool,Protestant,Republican,Favor,4,Yes,Favor,44,3
Female,White,HighSchool,Protestant,Independent,Favor,1,No,Favor,47,2
Male,White,HighSchool,Catholic,Independent,Favor,4,No,Favor,55,4
Male,AfrAm,HighSchool,Catholic,Democrat,Oppose,6,No,Favor,78,4
Female,White,HighSchool,Protestant,Democrat,Favor,2,No,Favor,38,2
Female,White,JunColl,Catholic,Independent,Favor,1,Yes,Favor,44,3
Male,White,NotHs,Protestant,Democrat,Favor,6,No,Favor,64,2
Male,White,Bachelor,Other,Independent,Favor,1,Yes,Favor,24,3
Female,White,HighSchool,Catholic,Republican,Favor,3,No,Favor,36,2
