,sex,race,degree,relig,polparty,cappun,tvhours,owngun,gunlaw,age,chldidel,AgeRange
301,Male,White,NotHs,Other,Independent,Favor,2,Yes,Favor,39,1,35-44
12,Male,White,JunColl,Catholic,Democrat,Favor,2,No,Favor,77,4,65+
186,Male,AfrAm,Graduate,Protestant,Democrat,Favor,3,No,Favor,31,3,25-34
27,Male,White,JunColl,Other,Republican,Favor,1,No,Favor,30,2,25-34
45,Female,White,HighSchool,Protestant,Republican,Favor,3,Yes,Favor,23,3,18-24
334,Male,White,HighSchool,Protestant,Independent,Favor,3,No,Favor,32,1,25-34
308,Male,White,HighSchool,Protestant,Democrat,Favor,2,No,Oppose,23,3,18-24
304,Female,White,NotHs,Protestant,Democrat,Oppose,3,No,Oppose,61,2,55-64
22,Female,White,JunColl,Catholic,Independent,Favor,1,Yes,Favor,44,3,35-44
292,Male,White,HighSchool,Catholic,Republican,Favor,3,Yes,Favor,30,2,25-34
382,Male,AfrAm,NotHs,Protestant,Independent,Favor,2,No,Favor,20,2,18-24
360,Male,White,NotHs,Protestant,Republican,Oppose,2,Yes,Oppose,67,3,65+
322,Male,White,HighSchool,Catholic,Independent,Favor,4,Yes,Oppose,30,1,25-34
88,Male,White,HighSchool,Protestant,Republican,Favor,0,Yes,Favor,37,5,35-44
318,Female,White,HighSchool,Protestant,Democrat,Favor,2,Yes,Favor,43,4,35-44
30,Female,AfrAm,HighSchool,Protestant,Republican,Favor,7,No,Favor,48,2,45-54
130,Female,White,HighSchool,Protestant,Republican,Oppose,1,No,Favor,62,3,55-64
238,Male,White,Bachelor,Protestant,Republican,Favor,2,Yes,Oppose,64,2,55-64
78,Male,AfrAm,JunColl,Protestant,Democrat,Oppose,12,Yes,Oppose,55,4,55-64
33,Female,White,JunColl,Other,Democrat,Favor,2,No,Favor,40,2,35-44
329,Female,White,HighSchool,Protestant,Republican,Favor,4,No,Favor,31,2,25-34
222,Female,White,Bachelor,Protestant,Republican,Favor,2,No,Oppose,35,2,35-44
44,Male,White,HighSchool,Catholic,Independent,Favor,3,Yes,Favor,70,2,65+
182,Female,White,HighSchool,Protestant,Democrat,Favor,2,Yes,Favor,81,3,65+
224,Male,White,HighSchool,Catholic,Republican,Oppose,2,No,Favor,57,5,55-64
247,Female,AfrAm,HighSchool,Protestant,Democrat,Oppose,5,No,Favor,33,3,25-34
339,Male,White,JunColl,Catholic,Republican,Favor,1,Yes,Oppose,28,2,25-34
181,Male,White,HighSchool,Other,Democrat,Favor,2,No,Favor,34,3,25-34
155,Male,White,NotHs,Other,Independent,Favor,4,Yes,Favor,25,3,25-34
193,Male,White,JunColl,Catholic,Republican,Favor,1,No,Favor,46,2,45-54
